Source,Target,Weight
 ChatGPT, dalle2,61
 funny, dadjoke,61
 silly, dadjoke,61
 pun, mormookiee,61
stablediffusion, dadjoke,61
 dadjoke, pun,61
 digitalart, mormookiee,61
 funny, pun,61
 aiartist, redbubble,61
 pun, dalle2,61
 dadjoke, joke,60
 aiartist, nft,60
 pun, redbubble,60
 pun, humor,60
AI, nft,60
 dadjoke, redbubble,60
 aiartcommunity, pun,60
 aiartcommunity, dadjoke,60
 dadjoke, humor,60
 dadjokes, midjourney,60
 aiart, joke,60
 funny, midjourney,60
 joke, nft,60
AI, art,60
 pun, joke,60
 aiart, pun,59
 aiart, dadjoke,59
 dadjoke, nft,59
 pun, nft,59
 dalle, textada001,59
 humor, midjourney,59
 openai, textada001,59
 art, dalle2,58
 digitalart, silly,58
 aiartist, silly,58
 ai, dalle2,58
 Dalle2, nft,57
 digitalart, funny,57
 midjourney, dalle2,57
 digitalart, dadjokes,57
 aiartist, funny,57
 aiartist, dadjokes,57
 ArtificialIntelligence, dalle2,57
 aiartist, pun,56
 aiartist, joke,56
 digitalart, pun,56
 aiartist, humor,56
 Dalle2, blockchain,56
 digitalart, humor,56
 aiartist, dadjoke,56
 digitalart, dadjoke,56
 digitalart, joke,56
 AIart, AIartist,55
 dalle2, aiartist,54
 aiartcommunity, AIArtworks,52
AI, Dalle,52
 dalle2, stablediffusion,52
AI, web3,52
 art, digitalart,51
dalle2, AIart,51
 dalle2, art,51
 dalle, textbabbage001,50
 openai, textbabbage001,50
AIart, dalle2,50
 dalle2, digitalart,50
 art, aiartcommunity,49
 aiart, nightcafe,48
 dalle2, AIart,48
 stablediffusion, dalle2,48
 dreamstudio, dalle2,48
 AIart, blockchain,47
stablediffusion, dreamstudio,47
stablediffusion, nightcafe,47
 dreamstudio, aiartist,47
 dalle2, nightcafe,47
 dreamstudio, aiart,46
 digitalart, dalle,46
 Dalle2, web3,46
 AIart, aiartcommunity,46
 Dalle2, art,45
 aiart, stablediffusion,45
AI, digitalart,45
aiart, AIArtworks,45
 dalle, nightcafe,45
 openai, textcurie001,45
ChatGPT, dalle2,45
 dalle, textcurie001,45
 dreamstudio, nightcafe,44
 Dalle2, nftgallery,44
 nft, nftgallery,44
 digitalartwork, digitalpainting,44
 digitalart, digitalpainting,44
 aiartist, nightcafe,44
 art, nftgallery,44
 Dalle2, artgallery,44
 aiartcommunity, dalle,44
 artgallery, nftgallery,44
 art, artgallery,44
AI, artgallery,43
 dreamstudio, dalle,43
 aiartcommunity, digitalpainting,43
 dalle, aiartist,43
AI, nftgallery,43
 pun, midjourney,42
 joke, midjourney,42
 dadjoke, midjourney,42
 AIart, nft,42
dalle2, digitalpainting,41
 aiartworks, digitalpainting,41
 stablediffusion, digitalpainting,41
 aiartgallery, digitalpainting,41
 aiartist, digitalpainting,41
 midjourney, digitalpainting,41
 ai, digitalpainting,41
 midjourneyart, digitalpainting,41
 aiart, digitalpainting,41
 aiartwork, digitalpainting,41
 digitalartgallery, digitalpainting,41
 artificialintelligence, digitalpainting,41
dalle, aiart,39
