,Source,Target,Weight
9206, midjourneyAi, surrealart,25
1626, ArtOfTheDay, ArtOfTheDay,25
7115, digitalart, generativeart,24
3825, ai, digitalart,24
3793, ai, art,24
8973, midjourney, aiartcommunity,24
4250, aiart, nightcafe,24
4024, aiart, aiartwork,23
13937,StableDiffusion, AIArt,23
15445,midjourney, midjourneyAi,23
14286,aiart, art,23
5500, art, digitalart,23
13944,StableDiffusion, GenerativeAI,22
4238, aiart, nft,22
2132, GenerativeAI, GenerativeArt,22
11565, stablediffusion, digitalart,22
1336, AiArtSociety, AiLust,22
1315, AiArtCommunity, AiArtSociety,21
3762, ai, aiartcommunity,21
13205,AiArt, AiLust,21
11523, stablediffusion, aiartcommunity,21
4220, aiart, midjourney,21
139, AI, aiart,21
11495, stablediffusion, AIart,21
1316, AiArtCommunity, AiLust,21
298, AIArt, GenerativeAI,21
1541, AiiA, AiLust,21
7224, digitalart, stablediffusion,21
13204,AiArt, AiArtSociety,20
4375, aiartcommunity, AIart,20
11976, surrealart, thebeastsofai,20
13281,AiLust, TheBeastsofAI,20
299, AIArt, GenerativeArt,20
13203,AiArt, AiArtCommunity,20
1028, AIart, thebeastsofai,20
8117, generativeart, aiartcommunity,20
4420, aiartcommunity, TheBeastsofAI,20
1633, ArtOfTheDay, thebeastsofai,20
4181, aiart, generativeart,20
9122, midjourney, thebeastsofai,20
13154,AIart, thebeastsofai,20
7035, digitalart, art,20
873, AIart, art,20
1539, AiiA, AiArtCommunity,20
13207,AiArt, AiiA,20
1540, AiiA, AiArtSociety,20
9208, midjourneyAi, thebeastsofai,20
223, AI, thebeastsofai,20
748, AIart, AIIA,19
8997, midjourney, art,19
14119,ai, aiartcommunity,19
105, AI, GenerativeAI,19
106, AI, GenerativeArt,19
13938,StableDiffusion, AIGenerated,19
677, AIGenerated, GenerativeArt,19
11614, stablediffusion, stablediffusionart,19
3379, TheBeastsofAI, AIart,19
13166,AIイラスト, AIart,19
8969, midjourney, ai,19
285, AIArt, AIGenerated,19
15051,dalle2, aiart,19
13936,StableDiffusion, AI,19
676, AIGenerated, GenerativeAI,19
675, AIGenerated, AI,19
15376,midjourney, Aiart,18
9140, midjourneyAi, AIArtwork,18
14462,aiart, stablediffusion,18
7011, digitalart, aiart,18
9368, midjourneyart, AIart,18
3883, ai, nft,18
165, AI, dalle,18
13090,AIart, aiartcommunity,18
436, AIArtwork, Aiart,17
5512, art, fantasy,17
9148, midjourneyAi, Aiart,17
13260,AiLust, AIArtistCommunity,17
5551, art, nft,17
5453, art, ai,17
4722, aiartist, aiartcommunity,17
13017,AIart, AIArtwork,17
9380, midjourneyart, aiart,17
4298, aiart, stablediffusion,16
4239, aiart, nftart,16
2523, NFT, NFTs,16
4427, aiartcommunity, aiart,16
13018,AIart, AIArtworks,16
4072, aiart, artificialintelligence,16
6748, dalle, aiart,16
13059,AIart, NFT,16
4162, aiart, fantasy,16
197, AI, nft,16
14129,ai, art,16
172, AI, fantasy,16
389, AIArtistCommunity, AIArtworks,15
9381, midjourneyart, aiartcommunity,15
4025, aiart, aiartworks,15
12934,AIArt, StableDiffusion2,15
3324, StableDiffusion2, StableDiffusion,15
12933,AIArt, StableDiffusion,15
428, AIArtwork, AIart,15
12923,AIArt, DreamStudio,15
3377, TheBeastsofAI, AIArtworks,15
3376, TheBeastsofAI, AIArtistCommunity,15
3308, StableDiffusion, DreamStudio,15
3323, StableDiffusion2, DreamStudio,15
4437, aiartcommunity, aiartwork,14
15846,stablediffusion, aiart,14
13288,AiLust, midjourney,14
13262,AiLust, AIArtworks,14
14253,aiart, ai,14
15450,midjourney, midjourneyart,14
11525, stablediffusion, aiartist,14
1206, AIイラスト, stablediffusion,14
5260, amongus, nft,13
11737, startrek, nasa,13
11774, starwars, minecraft,13
1377, AiArtSociety, digitalart,13
11738, startrek, nft,13
11739, startrek, nintendo,13
11010, ps5, art,13
11740, startrek, pc,13
11741, startrek, ps4,13
5267, amongus, xbox,13
11727, startrek, art,13
11761, starwars, art,13
5256, amongus, fantasy,13
11742, startrek, ps5,13
5249, amongus, amongus,13
5248, amongus, RPG,13
1292, AiArt, DigitalArt,13
11758, starwars, amongus,13
9828, nft, RPG,13
11746, startrek, starcitizen,13
5258, amongus, minecraft,13
11771, starwars, fortnite,13
7948, fortnite, xbox,13
11736, startrek, mmo,13
910, AIart, digitalart,13
7932, fortnite, mmo,13
11764, starwars, dalle,13
7933, fortnite, nasa,13
7934, fortnite, nft,13
7935, fortnite, nintendo,13
11722, startrek, ai,13
